country,year,D1,D2,total_respondents,position_1,position_2,position_3,position_4,position_5,position_6,position_7,position_8,position_9,position_10,refused,dont_know
AT,2007.0,-0.01483590485709645,0.02951505716944351,1015.0,17.0,42.0,93.0,125.0,228.0,137.0,106.0,50.0,10.0,34.0,75.0,98.0
AT,2010.0,0.048749582881824495,0.03673606394693085,1010.0,23.0,35.0,79.0,114.0,234.0,169.0,124.0,67.0,12.0,20.0,89.0,44.0
AT,2012.0,0.056585800465568784,0.018521458338654605,1005.0,42.0,35.0,73.0,124.0,215.0,166.0,129.0,59.0,14.0,26.0,74.0,48.0
AT,2014.0,-0.007895742032954884,0.08547738312792354,1043.0,38.0,53.0,109.0,113.0,332.0,123.0,79.0,45.0,14.0,18.0,65.0,54.0
AT,2015.0,0.04220835263597379,0.01304609697099164,1047.0,54.0,44.0,96.0,90.0,253.0,160.0,111.0,64.0,22.0,28.0,76.0,49.0
AT,2016.0,0.08021374249710474,0.029015222715969843,1026.0,31.0,73.0,117.0,108.0,216.0,126.0,124.0,60.0,30.0,31.0,78.0,32.0
AT,2017.0,0.09277430762974916,-0.015692239502248538,1025.0,41.0,49.0,109.0,104.0,245.0,144.0,95.0,59.0,25.0,43.0,92.0,19.0
AT,2019.0,0.12913477309602908,0.0473681684432852,1010.0,70.0,54.0,110.0,118.0,206.0,157.0,100.0,74.0,30.0,36.0,39.0,16.0
AT,2020.0,0.09270612427022823,0.09549635956560021,1024.0,46.0,50.0,107.0,124.0,257.0,169.0,119.0,52.0,16.0,34.0,33.0,17.0
AT,2020.5,0.07491898821025417,0.06311625365306646,1025.0,47.0,50.0,100.0,121.0,247.0,146.0,113.0,84.0,17.0,30.0,33.0,37.0
AT,2021.0,0.05791275854326353,0.04020757249183971,1004.0,53.0,44.0,92.0,109.0,234.0,162.0,105.0,64.0,13.0,35.0,53.0,40.0
AT,2021.5,0.06198098665135866,-0.0376376299363238,1004.0,57.0,42.0,89.0,92.0,185.0,140.0,115.0,85.0,22.0,45.0,78.0,54.0
AT,2022.0,0.060730368869944304,-0.016241220919963776,1008.0,60.0,47.0,104.0,97.0,186.0,143.0,114.0,77.0,15.0,43.0,67.0,55.0
AT,2023.0,0.04324741007152672,-0.0016698026473422247,1011.0,41.0,31.0,98.0,120.0,222.0,145.0,85.0,86.0,14.0,42.0,73.0,54.0
AT,2024.5,0.07608392484876579,0.016269173424864666,1002.0,41.0,30.0,93.0,124.0,214.0,140.0,118.0,92.0,18.0,18.0,78.0,36.0
AT,2025.0,0.09337547157206771,0.014663276876980168,1009.0,36.0,32.0,105.0,146.0,204.0,138.0,97.0,88.0,37.0,26.0,67.0,33.0
BE,2007.0,0.008825147429548203,0.09474065442196693,1024.0,37.0,29.0,111.0,119.0,345.0,119.0,80.0,60.0,16.0,21.0,34.0,53.0
BE,2010.0,0.013666867688056647,0.06949135438412062,1021.0,45.0,38.0,92.0,124.0,315.0,106.0,110.0,54.0,14.0,24.0,45.0,54.0
BE,2012.0,0.053294032660061164,0.07209862708789717,1111.0,35.0,41.0,91.0,137.0,282.0,139.0,161.0,95.0,9.0,16.0,57.0,48.0
BE,2014.0,0.020122873723814463,0.08665364462670226,1010.0,65.0,26.0,106.0,100.0,318.0,88.0,131.0,62.0,9.0,25.0,27.0,53.0
BE,2015.0,0.04555141194398569,0.0947257857769178,1029.0,34.0,32.0,105.0,131.0,302.0,128.0,126.0,53.0,13.0,38.0,20.0,47.0
BE,2016.0,0.07176562462062328,0.15166374628022206,1000.0,56.0,22.0,97.0,94.0,353.0,125.0,121.0,66.0,11.0,28.0,21.0,6.0
BE,2017.0,0.05794664567628408,0.13941381315066945,1001.0,46.0,33.0,97.0,130.0,307.0,138.0,120.0,57.0,11.0,16.0,5.0,41.0
BE,2019.0,0.08530669901674671,0.14355907472459387,1086.0,37.0,38.0,117.0,122.0,357.0,125.0,140.0,84.0,10.0,30.0,6.0,20.0
BE,2020.0,0.13172281419738235,0.12484147921821656,1055.0,42.0,56.0,139.0,131.0,224.0,156.0,165.0,79.0,11.0,17.0,9.0,26.0
BE,2020.5,0.18348330937658033,0.15434480999027067,1034.0,29.0,51.0,165.0,137.0,209.0,151.0,167.0,83.0,19.0,15.0,5.0,3.0
BE,2021.0,0.09449010564667183,0.14257528686983223,1017.0,35.0,28.0,117.0,152.0,304.0,129.0,107.0,74.0,22.0,24.0,4.0,21.0
BE,2021.5,0.08282481374255275,0.12384583098957233,1100.0,54.0,55.0,124.0,148.0,325.0,117.0,133.0,63.0,19.0,24.0,17.0,21.0
BE,2022.0,0.042427838522514846,0.10253245812590799,1073.0,24.0,32.0,105.0,132.0,347.0,127.0,128.0,57.0,19.0,36.0,24.0,42.0
BE,2023.0,0.033213410171167794,0.11847883670491142,1014.0,29.0,20.0,110.0,118.0,334.0,122.0,131.0,52.0,11.0,16.0,39.0,32.0
BE,2024.5,0.15779056902723912,0.13214170478738735,1026.0,27.0,38.0,103.0,119.0,260.0,169.0,147.0,109.0,18.0,25.0,2.0,9.0
BE,2025.0,0.13095407055132774,0.15338219694893765,1005.0,20.0,36.0,98.0,134.0,270.0,188.0,123.0,75.0,18.0,30.0,7.0,6.0
BG,2007.0,-0.14358712767773674,-0.08628773091004813,977.0,47.0,59.0,70.0,47.0,177.0,80.0,79.0,63.0,24.0,22.0,88.0,221.0
BG,2010.0,-0.11512049429730052,-0.06676280380333115,1000.0,35.0,39.0,50.0,50.0,236.0,95.0,91.0,62.0,31.0,30.0,91.0,190.0
BG,2012.0,-0.07483957232038158,-0.05084986013243197,1007.0,56.0,67.0,63.0,49.0,261.0,95.0,86.0,51.0,22.0,51.0,65.0,141.0
BG,2014.0,-0.07018324821548659,-0.11809807017166851,1002.0,65.0,42.0,85.0,49.0,218.0,54.0,75.0,75.0,17.0,101.0,82.0,139.0
BG,2015.0,-0.05451023410905626,-0.10823098000397938,1032.0,82.0,52.0,64.0,49.0,244.0,76.0,71.0,77.0,21.0,100.0,71.0,125.0
BG,2016.0,-0.06223106290006598,-0.14460390782930463,1019.0,98.0,32.0,67.0,54.0,186.0,66.0,73.0,84.0,30.0,83.0,102.0,144.0
BG,2017.0,0.036570111928934015,-0.17493061251125133,1037.0,95.0,30.0,79.0,41.0,147.0,89.0,98.0,97.0,75.0,84.0,84.0,118.0
BG,2019.0,0.011924571900067595,-0.10894988080399484,1030.0,83.0,49.0,75.0,46.0,189.0,105.0,98.0,94.0,38.0,81.0,53.0,119.0
BG,2020.0,0.1356679110349154,-0.02072017990392588,1036.0,56.0,44.0,67.0,99.0,202.0,170.0,121.0,106.0,33.0,79.0,22.0,37.0
BG,2020.5,0.0748300220328578,-0.04680257447975495,1034.0,63.0,44.0,84.0,72.0,204.0,129.0,119.0,107.0,33.0,73.0,48.0,58.0
BG,2021.0,0.0942064657721072,-0.08907599916267317,1020.0,68.0,46.0,65.0,66.0,181.0,126.0,122.0,113.0,31.0,94.0,56.0,52.0
BG,2021.5,0.05878038281172362,-0.03154986097655167,1039.0,66.0,42.0,78.0,97.0,206.0,110.0,132.0,98.0,28.0,70.0,40.0,72.0
BG,2022.0,0.06511504294117737,-0.0717836915464013,1033.0,53.0,30.0,72.0,58.0,205.0,141.0,122.0,110.0,40.0,75.0,57.0,70.0
